hour_of_day,event_type,unique_users
0,cart,232
0,purchase,202
0,view,5937
1,cart,481
1,purchase,445
1,view,11554
2,cart,1133
2,purchase,1165
2,view,20970
3,cart,1998
3,purchase,2224
3,view,29059
4,cart,2687
4,purchase,3048
4,view,34989
5,cart,3110
5,purchase,3650
5,view,38465
6,cart,3526
6,purchase,3935
6,view,41073
7,cart,3565
7,purchase,3919
7,view,42190
8,cart,3558
8,purchase,4033
8,view,42872
9,cart,3689
9,purchase,3947
9,view,42104
10,cart,3449
10,purchase,3843
10,view,41453
11,cart,3313
11,purchase,3557
11,view,39815
12,cart,3026
12,purchase,3199
12,view,39129
13,cart,2886
13,purchase,3066
13,view,41930
14,cart,2761
14,purchase,2819
14,view,44225
15,cart,2801
15,purchase,2892
15,view,46152
16,cart,2639
16,purchase,2626
16,view,44524
17,cart,2274
17,purchase,2289
17,view,38374
18,cart,1761
18,purchase,1759
18,view,31373
19,cart,1160
19,purchase,1136
19,view,19207
20,cart,649
20,purchase,631
20,view,10771
21,cart,439
21,purchase,437
21,view,6461
22,cart,257
22,purchase,270
22,view,4136
23,cart,179
23,purchase,190
23,view,3652
